,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1,3,Installed,2,1,1,234,Not specified,49,Gas,No,1150,200.0,No,Apartment ,90,No,As new,Unknown,1350
2,3,USA hyper equipped,2,1,1,242,E,52,Gas,Yes,1200,80.0,No,Apartment ,90,Unknown,Good,No,1280
4,4,Hyper equipped,1,1,1,412,Not specified,76,Gas,No,960,80.0,No,Apartment ,70,Yes,As new,Yes,1040
6,2,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050,150.0,No,Apartment ,50,Yes,Just renovated,No,1200
7,3,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,200.0,No,Apartment ,60,Yes,Just renovated,No,1450
9,0,Installed,1,1,1,86,B,17,Gas,Yes,900,130.0,No,Apartment ,60,No,As new,Yes,1030
11,1,Installed,2,1,1,252,Not specified,54,Gas,Yes,625,105.0,No,Studio ,40,No,As new,Yes,730
14,6,Hyper equipped,1,1,1,407,G,87,Gas,Yes,1250,144.58,No,Apartment ,90,No,As new,Yes,1250
15,1,Not installed,1,1,1,407,G,87,Gas,Yes,980,113.35,No,Apartment ,70,No,As new,Unknown,980
17,3,Installed,1,1,1,245,Not specified,53,Gas,Yes,950,138.51,No,Studio ,45,Yes,Just renovated,No,950
18,3,Hyper equipped,2,1,1,227,Not specified,55,Gas,Yes,1950,196.31,No,Penthouse ,110,Yes,Just renovated,No,1950
19,2,Installed,1,1,1,277,Not specified,61,Gas,Yes,750,86.75,No,Apartment ,54,Unknown,As new,No,750
20,2,Installed,2,1,2,247,Not specified,63,Gas,No,1250,300.0,No,Duplex ,120,Yes,Good,No,1550
22,4,Installed,1,1,1,165,D,35,Gas,Yes,1200,50.0,No,Penthouse ,52,No,As new,Yes,1250
