,Availability,Floor,Kitchen,Beds,Dressing,Baths,Toilets,Office,ProfSpace,PetFriendly,Armored door,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,HeatPump,SolarPanels,Thermic solar panels,WaterHeater,DoubleGlazing,BuildingType,Rent,Costs,Tenement,price,space,address,listing_type,Floors,Frontages,OutParking,LivingArea,LivingRmSurface,Bed1Surface,Bed2Surface,Furnished,TerraceSurface,Intercom,Visio phone,As built plan,Address,Website,ExtRef,Agency,YearBuilt,BldgCondition,LivingRm,DiningRm,LaundryRm,Basement,TerraceOrient,Caretaker,Elevator,Accessible,SecAccess,AirCond,TVCable,Jacuzzi,Sauna,Pool,Internet,FuelCert,PriorityPurchase,Available,Street frontage width,description,KitchenSurface,BasementSurface,Neighbourhood,Fireplaces,Terrace,GardenSurface,GardenOrient,PlanningPerm,SubdivisionPerm,ShowerRms,FloodZone,Surroundings,VirtualVisit,PropertyName,CovParking,PlanningBreach,ProfSpaceSurface,Obligation to build,AtticSurface,Bed3Surface,OfficeSurface,Attic,PlotSurface,SewerConnection,Utilities,GroundFloorSurface,LandUse,Garden,ELevel,Agent's name,LandFacingStreet,WoodedLand,RearPlot,FlatLand,Bed4Surface,EPCDesc,Bed5Surface,LotWidth,Isolated,ExtraInfo,Annexes
0,January 31 2023 - 12:00 AM,2.0,USA installed,1.0,No,1.0,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 750
750 €","€ 30
30€",No,"€750 (+ €30)
750€ + 30€ per month",1 bedroom,1190 — Forest,Apartment for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,March 1 2023 - 12:00 AM,3.0,Installed,2.0,,1.0,1.0,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,,No,,"€ 1,150
1150 €","€ 200
200€",No,"€1,150 (+ €200)
1150€ + 200€ per month","2 bedrooms | 90 m²
square meters",Ask for the exact address,Apartment for rent,3.0,2.0,1.0,"90 m²
square meters","30 m²
square meters","16 m²
square meters","12 m²
square meters",No,"10 m²
square meters",Yes,Yes,No,"Rue Des Carmélites 88
1180 - Uccle",http://www.immofadan.be,15274JADS,IMMO FADAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,April 1 2023 - 12:00 AM,3.0,USA hyper equipped,2.0,No,1.0,1.0,No,No,No,No,"242 kWh/m²
kilowatt hour per square meters",E,20130605-0000169186-01-4,52 kg CO₂/m²,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 1,200
1200 €","€ 80
80€",No,"€1,200 (+ €80)
1200€ + 80€ per month","2 bedrooms | 90 m²
square meters",1040 — Etterbeek,Apartment for rent,3.0,2.0,,"90 m²
square meters",,"16 m²
square meters","10 m²
square meters",,"3 m²
square meters",Yes,No,,,,,,1970.0,Good,Yes,Yes,Yes,Yes,South East,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3.0,Installed,2.0,,1.0,1.0,,,,,"542 kWh/m²
kilowatt hour per square meters",G,Not specified,109 kg CO₂/m²,Not specified,Gas,,,,,,,"€ 1,050
1050 €","€ 50
50€",No,"€1,050 (+ €50)
1050€ + 50€ per month","2 bedrooms | 75 m²
square meters",Ask for the exact address,Apartment for rent,3.0,2.0,,"75 m²
square meters","22 m²
square meters",,,No,,,,No,"Avenue Broqueville 1
1150 - Woluwe-Saint-Pierre",http://www.macnash.com,267766 - 5100893,Macnash Montgomery,,Good,,,,Yes,,,,,,,,,,,,,,Immediately,15 m,"Between Malou park and Sources park, in a quiet street, on the 3rd and last floor of a small condominium, magnificent 2 bedrooms apartment of ± 75m². Composition : entrance hall with checkroom, bright and spacious living room of ± 22m², super-equipped kitchen, laundry room, 2 large bedrooms of ± 15 and 11m², bathroom with toilet, cellar. Details: fully renovated 3 years ago, pvc double glazing, individual gas boiler. Low charges: 50€/month including maintenance and electricity of the common. Ideally located near many shops and conveniences: many parks, Rob The Gourmets' Market, Colruyt, Proxy Delhaize, streetcar 8, bus 28. Advertisement and indications are not contractual, subject to change. Info : est@macnash.com - Tel : 02 779 99 99 - ID267766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4.0,Hyper equipped,1.0,No,1.0,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,All kind,"€ 960
960 €","€ 80
80€",No,"€960 (+ €80)
960€ + 80€ per month","1 bedroom | 70 m²
square meters",1060 — Saint-Gilles,Apartment for rent,1.0,,,"70 m²
square meters","20 m²
square meters","14 m²
square meters",,Yes,"12 m²
square meters",No,No,,,,,,,,,Yes,,,North West,No,Yes,No,No,No,No,No,No,No,No,,,Immediately,,"Furnished flat in Saint Gilles to rent. Great for one person or a couple, has spectacular views (4th floor with lift) and is located next to maison communale of Saint Gilles (rue Jean Robie). It will be €960 + €80 charges.

Could also be rented unfurnished.

Available as of now.","8 m²
square meters","10 m²
square meters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1.0,Installed,,No,1.0,1.0,No,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,,"€ 795
795 €",,No,"€795/month
795€ per month","28 m²
square meters",1000 — Bruxelles,Studio for rent,4.0,,,"28 m²
square meters",,,,No,,No,Yes,No,"Avenue des Genêts 16
1640 - Rhode-Saint-Genèse",,8104280,Belgoimmo SPRL,1910.0,As new,,,Yes,,,No,No,No,No,,No,,,No,,No,,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,August 1 2022 - 12:00 AM,nan,,3.0,No,2.0,3.0,Yes,,Yes,No,"123 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,,"€ 2,700
2700 €",,No,"€2,700/month
2700€ per month","3 bedrooms | 270 m²
square meters",1050 — Ixelles,Ground floor for rent,,,,"270 m²
square meters",,,,Yes,,Yes,No,No,"Chaussée de Waterloo 256
1060 - Saint-Gilles",http://www.pearlimmo.eu,8103593,Pearl Immo,,As new,Yes,Yes,,Yes,,No,No,No,No,,Yes,,,No,,No,,To be defined,,"AVAILABLE 1ST MARCh 2023 © FURNISHED © SHORT TERM RENTAL (1 year)

Stunning 3/4 bedrooms house in the much sought after, prime location of ‘’ChÃtelain area / Place Brugmann area’’.

Fully renovated in 2021 with quality materials and neat finish, it is elegantly furnished. It spreads over 3 floors and totals over a 270 sqm surface, with terrace, garden and cellar.

- In a typical Brussels’ architectural style of early 20th century, the ground floor is elevated (bel-étage). The central room gives access to a lounge with decorative fire place, and on the backside to the dining room, open fitted kitchen with integrated appliances, terrace and garden

- On the first floor, the central roomis equipped with a large wardrobe and shelves, it gives access to the master bedroom, an ‘’en-suite’’ shower room, equipped with washing machine and dryer. On the front side you’ll enjoy a large study with a sofa-bed

- Minus 1 level hosts 3 rooms, a full bathroom and access to the cellar. The front and backside rooms contain respectively twin and bunk-beds. It benefits from natural light throughout and access to the garden.

For info and tours: Pearl Immo T : +32 2 201 8000 © contact@pearlimmo.eu © ref agency : 8103593

Virtual tour: https://nodalview.com/s/34q_ksGL56LPJvyTTzosKD

Non-contractual ad",,,Chatelain,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2.0,Hyper equipped,1.0,No,1.0,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 1,050
1050 €","€ 150
150€",No,"€1,050 (+ €150)
1050€ + 150€ per month","1 bedroom | 50 m²
square meters",1040 — Brussels,Apartment for rent,3.0,2.0,,"50 m²
square meters",,,,Yes,,Yes,No,,,,,,,Just renovated,,,,Yes,,No,No,No,No,No,No,No,No,No,No,"Yes, conform",,Immediately,,"Exceptionally bright, fully furnished, just renovated, 1 bedroom/studio apartment (2nd floor) with access to a private garden.
Private bike parking and storage in the basement.
The apartment has been fully renovated (parquet everywhere) with brand-new furniture. It includes a large convertible sofa in the living room (for 2ppl), single bed in the bedroom, washing machine, smart TV 55’, Nespresso machine and a full set of brand-new dishes and cutlery.
There are 4 apartments in this fully renovated building that share access to the private garden where each apartment has its own dedicated seating area with table and chairs. The building is located next to Square Marie-Louise, a few steps from Square Ambiorix, 2min walk to the European Commission and 5min walk to the European Council. You are a few steps away from public transport, bars, restaurants, grocery and other shops. There are two parks at your proximity, literary 2min walk away.
The monthly rent is 1150€ and 150€ for common and provisional heating charges.
Pets are not allowed.
Contact: 0473 472 701
! Agencies please abstain.",,,,,,"30 m²
square meters",East,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,3.0,Hyper equipped,2.0,No,1.0,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 1,250
1250 €","€ 200
200€",No,"€1,250 (+ €200)
1250€ + 200€ per month","2 bedrooms | 60 m²
square meters",1040 — Brussels,Apartment for rent,3.0,2.0,,"60 m²
square meters",,,,Yes,,Yes,No,,,,,,,Just renovated,,,,Yes,,No,No,No,No,No,No,No,No,No,No,,,Immediately,,"Exceptionally bright, fully furnished, just renovated, 2-bedroom (1 bedroom & 1 office/guest bedroom) apartment (3rd floor) with access to a private garden.
Private bike parking and storage in the basement.
The apartment has been fully renovated (parquet everywhere) with brand-new furniture. It includes a large convertible sofa in the living room (for 2ppl), queen bed in the 1st bedroom and a single bed in the 2nd bedroom/office, washing machine, dishwasher, smart TV 55’, Nespresso machine and a full set of brand-new dishes and cutlery.
There are 4 apartments in this fully renovated building that share access to the private garden where each apartment has its own dedicated seating area with table and chairs. The building is located next to Square Marie-Louise, a few steps from Square Ambiorix, 2min walk to the European Commission and 5min walk to the European Council. You are a few steps away from public transport, bars, restaurants, grocery and other shops. There are two parks at your proximity, literary 2min walk away.
The monthly rent is 1350€ and 200€ for common and provisional heating charges.
Pets are not allowed.
Contact: 0473 472 701
! Agencies please abstain.",,,,,,"30 m²
square meters",East,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,February 15 2023 - 12:00 AM,3.0,Not installed,2.0,,1.0,1.0,,,,,"488 kWh/m²
kilowatt hour per square meters",G,20191022-0000558795-01-0,115 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 890
890 €","€ 15
15€",No,"€890 (+ €15)
890€ + 15€ per month","2 bedrooms | 97 m²
square meters",Ask for the exact address,Apartment for rent,3.0,,,"97 m²
square meters","35 m²
square meters","18 m²
square meters","8 m²
square meters",No,"2 m²
square meters",,,,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5233528,Sorimo - Bruxelles,1970.0,As new,,,,Yes,,,,,,,,,,,,,,Depending on the tenant,,"Dans le quartier du Chant d'Oiseau, à proximité de tous les transports et commerces, agréable appartement de +/- 97m² se composant comme suit: Hall d'entrée, séjour de +/- 35m², cuisine non équipée donnant accès au balcon, 2 chambres, salle de bain, chaufferie. Cave. Forfait de charges 15€ (électricité communs). PEB G , 488 kwh - 115 Kgco2. Libre le 15/02/2023",,,,,,,,,,1.0,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
